Type,Symbol,Expiry,Strike,OptionType
Option,10000497,20160224,2.400000,C
Option,10000498,20160224,2.450000,C
Option,10000499,20160224,2.500000,C
Option,10000500,20160224,2.550000,C
Option,10000501,20160224,2.600000,C
Option,10000502,20160224,2.400000,P
Option,10000503,20160224,2.450000,P
Option,10000504,20160224,2.500000,P
Option,10000505,20160224,2.550000,P
Option,10000506,20160224,2.600000,P
Option,10000507,20160224,2.300000,C
Option,10000508,20160224,2.350000,C
Option,10000509,20160224,2.300000,P
Option,10000510,20160224,2.350000,P
Option,10000511,20160224,2.200000,C
Option,10000512,20160224,2.250000,C
Option,10000513,20160224,2.200000,P
Option,10000514,20160224,2.250000,P
Option,10000519,20160224,2.100000,C
Option,10000520,20160224,2.150000,C
Option,10000521,20160224,2.100000,P
Option,10000522,20160224,2.150000,P
Option,10000527,20160224,2.050000,C
Option,10000528,20160224,2.050000,P
Option,10000533,20160224,2.000000,C
Option,10000534,20160224,2.000000,P
Option,10000539,20160224,1.950000,C
Option,10000540,20160224,1.950000,P
Option,10000547,20160224,1.850000,C
Option,10000548,20160224,1.900000,C
Option,10000549,20160224,1.850000,P
Option,10000550,20160224,1.900000,P
Option,10000565,20160224,1.800000,C
Option,10000566,20160224,1.800000,P
Equity,510050,,,
